Title,Title_link,Thumbnail,eyebrow,time,dek
Second coronavirus case of unknown origin confirmed in California; Oregon confirms first 'community spread' case,https://www.foxnews.com/health/second-coronavirus-case-unknown-origin-confirmed-california-cdc,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/02/156/88/AP20059002682408.jpg?ve=1&tl=1,health,4 months ago,"A second novel coronavirus case of ""unknown origin"" was discovered in the state of California on Friday, after a Santa Clara County resident reportedly tested positive for the disease."
"Foreign disinformation campaign on fake national quarantine trying to cause panic, Trump admin. officials say",https://www.foxnews.com/politics/trump-administration-warns-of-foreign-disinformation-campaign-amid-coronavirus-outbreak,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/643c187e-0ec2-4335-a217-b5788ca30815/1c5c5375-3218-4810-9d12-cad0a60e6739/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,4 months ago,"Trump administration officials say a foreign disinformation campaign is trying to spread fear amid the coronavirus pandemic, with false rumors of a nationwide quarantine and more."
"Patti LuPone says 'this country is doomed' amid coronavirus crisis, reveals plans if Trump wins second term",https://www.foxnews.com/entertainment/patti-lupone-country-doomed-coronavirus-crisis-reveals-plans-if-trump-wins-second-te,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/156/88/patti-lupone-reuters.jpg?ve=1&tl=1,entertainment,1 month ago,"Patti LuPone is speaking her truth about the current state of America, and the Broadway veteran admitted that if it continues under President Trump's reign come November, she's packing her bags."
Trump administration hits back after China kicks out US journalists amid coronavirus pandemic,https://www.foxnews.com/world/china-coronavirus-us-journalists-national-security-council,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/03/156/88/coronavirus4.jpg?ve=1&tl=1,world,4 months ago,"China on Tuesday escalated its tit-for-tat propaganda war with the United States over who's to blame for the spread of the coronavirus by placing restrictive measures on several top media companies including The New York Times, The Washington Post and The Wall Street Journal, prompting strong opposition from the Trump administration."
Trump calls on states to 'LIBERATE' their people from coronavirus restrictions,https://www.foxnews.com/politics/trump-liberate-states-economy-reopen,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/AP20106822924562.jpg?ve=1&tl=1,politics,2 months ago,President Trump seemed to have endorsed growing demonstrations by residents calling for states to reopen their economies after weeks of restrictions induced by the coronavirus pandemic.
"Trump vows to resupply national stockpile, saying 'cupboards were bare' amid coronavirus pandemic",https://www.foxnews.com/politics/trump-resupply-national-stockpile-the-cupboards-were-bare-coronavirus,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/852e6737-4738-4848-ad76-9b7e460882db/fc0d16df-e929-474a-a1ab-caf378d466f1/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,2 months ago,President Trump announced on Thursday his administration’s move to restock the country’s national stockpile and industrial base in an effort to prevent any shortages of medical supplies or personal protective equipment amid a public health crisis.
California pastor who prophesied Kanye West's transformation 4 years ago predicts this about Trump,https://www.foxnews.com/faith-values/california-pastor-trump-kanye-shawn-bolz-prophetic-christian,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/02/156/88/ShawnBolz1.jpg?ve=1&tl=1,faith-values,5 months ago,"Shawn Bolz, a prominent pastor in Los Angeles who has prophesied about many things from Kanye West to President Trump, told Fox News his number one mission is to make it mainstream."
"White House, Dems close in on new $450B coronavirus small biz package; Trump announces testing milestone",https://www.foxnews.com/us/white-house-dems-close-in-on-new-450b-coronavirus-small-biz-package-trump-announces-testing-milestone,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/MnuchinTrump042020.jpg?ve=1&tl=1,us,2 months ago,
The Dow's biggest single-day gains and losses in history,http://feeds.foxnews.com/~r/foxnews/business/~3/SVN2rqDEmAA/the-dows-biggest-single-day-drops-in-history,https://a57.foxnews.com/a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2020/02/0/0/156/88/stock-exchange-trader-AP-001.jpg?ve=1&tl=1?ve=1&tl=1,markets,2 years ago,A historical look at the Dow's biggest point gains and losses.
"Trump set to preside over record spending, deficits as coronavirus costs explode",https://www.foxnews.com/politics/trump-set-to-preside-spending-deficits-coronavirus,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/5435f1c3-8b87-4977-990b-88f822c60003/7a823487-ca48-4e93-8fa4-92ae1b198630/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,3 months ago,"Following the passage of the $2.2 trillion CARES Act late last month, Goldman Sachs reportedly has forecast that the federal deficit will reach $3.6 trillion for 2020."
Tom Cotton: China will have to face 'reckoning' for coronavirus pandemic,https://www.foxnews.com/media/tom-cotton-china-will-face-reckoning-when-this-is-over,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/03/156/88/7a9f515a-cotton.jpg?ve=1&tl=1,media,3 months ago,"Sen. Tom Cotton, R-Ark., said on Monday that the United States must attempt to remove essential medical manufacturing from China after their handling of the coronavirus outbreak."
"US, Mexico, Canada extend coronavirus travel restrictions for another month",https://www.foxnews.com/politics/us-mexico-canada-extend-coronavirus-travel-restrictions-for-another-month,https://a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/202003/1741/156/88/854081161001_6145869765001_6145872193001-vs.jpg?ve=1&tl=1,politics,2 months ago,"The United States, Mexico and Canada are extending restrictions on non-essential travel for an additional 30 days due to the coronavirus crisis, the Department of Homeland Security said Monday."
"Trump prepares for first campaign rally in months in Tulsa amid concerns about coronavirus, violence",https://www.foxnews.com/politics/trump-hold-campaign-rally-in-tulsa,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/06/156/88/Trump-Tulsa-Rally-Getty-3.jpg?ve=1&tl=1,politics,11 days ago,"President Trump on Saturday will head to Tulsa, Oklahoma to address what is likely to be a packed rally of supporters -- despite objections from local officials about the potential spread of the coronavirus, and fears that violence could break out as protesters as well as supporters flock to the event."
Judge refuses to block Trump's coronavirus green card freeze,https://www.foxnews.com/politics/judge-refuses-to-block-trumps-coronavirus-green-card-freeze,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/4ded30ab-a7fd-4575-a102-2eacbfcc517c/0b9b23c3-f89e-4738-aa6d-fd2c33924d00/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,2 months ago,A federal judge in Oregon who previously blocked President Trump’s order to bar immigrants who lacked or could not afford health insurance refused to do the same with regard to Trump’s recent pause on green cards.
